movie_id	title	rating	votes	gross	countries
2106222	"Best Seller"	6.5	2850	"$4,278,150 (USA)"	USA
2106609	Betrayed	6.3	3793	"$25,816,139 (USA)"	USA
2106786	"Better Off Dead..."	7.3	29193	"$10,297,601 (USA)"	USA
2107464	"Beverly Hills Chihuahua"	3.7	16095	"$94,514,402 (USA)"	USA
2107468	"Beverly Hills Cop"	7.3	103015	"$234,760,478 (USA)"	USA
2107472	"Beverly Hills Cop II"	6.4	70572	"$153,665,000 (USA)"	USA
2107474	"Beverly Hills Cop III"	5.4	49509	"$42,610,000 (USA)"	USA
2107977	"Beyond Rangoon"	6.6	3804	"$5,750,110 (USA)"	USA
2108359	"Beyond the Valley of the Dolls"	6.2	6733	"$9,000,000 (USA)"	USA
2110067	Big	7.3	123504	"$114,968,774 (USA)"	USA
2110561	"Big Bully"	4.4	3404	"$4,085,000 (USA)"	USA
2110572	"Big Business"	6.2	7611	"$40,150,487 (USA)"	USA
2110843	"Big Daddy"	6.4	131314	"$163,479,795 (USA)"	USA
2111109	"Big Jake"	7.1	6343	"$7,500,000 (USA)"	USA
2111242	"Big Momma's House"	5.0	57228	"$117,559,438 (USA)"	USA
2111243	"Big Momma's House 2"	4.5	26230	"$70,165,972 (USA)"	USA
2111775	"Big Top Pee-wee"	4.8	6561	"$15,122,324 (USA)"	USA
2111808	"Big Trouble in Little China"	7.3	75449	"$11,100,000 (USA)"	USA
2112103	Biggles	5.9	1682	"$112,132 (USA)"	USA
2112627	"Bill & Ted's Bogus Journey"	6.1	42794	"$38,037,513 (USA)"	USA
2112628	"Bill & Ted's Excellent Adventure"	6.9	73435	"$40,485,039 (USA)"	USA
2113029	"Billy Bathgate"	5.9	8788	"$15,965,919 (USA)"	USA
2113148	"Billy Jack"	6.1	3988	"$98,000,000 (USA)"	USA
2113173	"Billy Madison"	6.4	86639	"$25,588,750 (USA)"	USA
2113376	"Biloxi Blues"	6.6	11021	"$43,184,798 (USA)"	USA
2113608	Bingo	4.5	1945	"$8,667,684 (USA)"	USA
2114128	Bird	7.2	7778	"$2,181,286 (USA)"	USA
2114215	"Bird on a Wire"	5.8	25877	"$70,980,000 (USA)"	USA
2114413	Birdy	7.3	15370	"$1,455,045 (USA)"	USA
